Folder (Location),Flickr URL,Resolved Image URL,Photo ID,Notes,Folder Slug,Ready,Featured,Project,Species,Full Image URL,Flickr ID,Title,Date Taken,Width,Height,Camera,Lens,Shutter,Aperture,ISO,Focal Length,Exposure Mode,Metering,White Balance,Flash,Publish Status,Category,Homepage Order,Portfolio Order,Alt Text,Caption,Display Title,Description,Date Uploaded,Tags,Orientation,Aspect Ratio
Silver River,https://www.flickr.com/photos/204244048@N05/55275393790/,https://live.staticflickr.com/65535/55275393790_e70c958e89_m.jpg,1,,silver-river,Yes,true,,,https://live.staticflickr.com/65535/55275393790_e70c958e89_b.jpg,55275393790,BrandonAlleyPhotography_SiliverSprings_202605101269.jpg,2026-05-10 17:32:23,1024,683,Canon EOS R100,,1/200,,100,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_SiliverSprings_202605101269.jpg,,,,Landscape,1024:683
Silver River,https://www.flickr.com/photos/204244048@N05/55274997711/,https://live.staticflickr.com/65535/55274997711_a476e4b222_m.jpg,2,,silver-river,Yes,true,,,https://live.staticflickr.com/65535/55274997711_a476e4b222_b.jpg,55274997711,BrandonAlleyPhotography_SiliverSprings_202605101219.jpg,2026-05-10 17:28:51,1024,683,Canon EOS R100,,1/200,,100,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_SiliverSprings_202605101219.jpg,,,,Landscape,1024:683
Silver River,https://www.flickr.com/photos/204244048@N05/55275129113/,https://live.staticflickr.com/65535/55275129113_70d94a57ca_m.jpg,3,,silver-river,Yes,true,,,https://live.staticflickr.com/65535/55275129113_70d94a57ca_b.jpg,55275129113,BrandonAlleyPhotography_SiliverSprings_20260510946.jpg,2026-05-10 16:58:14,1024,683,Canon EOS R100,,1/200,,800,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_SiliverSprings_20260510946.jpg,,,,Landscape,1024:683
Silver River,https://www.flickr.com/photos/204244048@N05/55275393450/,https://live.staticflickr.com/65535/55275393450_ec5b55797a_m.jpg,4,,silver-river,Yes,true,,,https://live.staticflickr.com/65535/55275393450_ec5b55797a_b.jpg,55275393450,BrandonAlleyPhotography_SiliverSprings_20260510706.jpg,2026-05-10 16:08:25,1024,683,Canon EOS R100,,1/200,,100,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_SiliverSprings_20260510706.jpg,,,,Landscape,1024:683
Silver River,https://www.flickr.com/photos/204244048@N05/55274080112/,https://live.staticflickr.com/65535/55274080112_6213a4d98d_m.jpg,5,,silver-river,Yes,true,herons,Nyctanassa violacea,https://live.staticflickr.com/65535/55274080112_6213a4d98d_b.jpg,55274080112,BrandonAlleyPhotography_SiliverSprings_20260510596.jpg,2026-05-10 15:50:17,683,1024,Canon EOS R100,,1/200,,400,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Yellow-crowned Night-Heron,Yellow-crowned Night-Heron,BrandonAlleyPhotography_SiliverSprings_20260510596.jpg,,,,Portrait,683:1024
Silver River,https://www.flickr.com/photos/204244048@N05/55275128673/,https://live.staticflickr.com/65535/55275128673_79dac08b00_m.jpg,6,,silver-river,Yes,true,,,https://live.staticflickr.com/65535/55275128673_79dac08b00_b.jpg,55275128673,BrandonAlleyPhotography_SiliverSprings_20260510539.jpg,2026-05-10 15:44:35,1024,683,Canon EOS R100,,1/1250,,800,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_SiliverSprings_20260510539.jpg,,,,Landscape,1024:683
Unassigned,https://www.flickr.com/photos/204244048@N05/55250254275/,https://live.staticflickr.com/65535/55250254275_f0fc9c0970_m.jpg,7,,,Yes,true,,,https://live.staticflickr.com/65535/55250254275_f0fc9c0970_b.jpg,55250254275,BrandonAlleyPhotography_untitled shoot_2026050221.jpg,2026-05-02 16:46:09,819,1024,Canon EOS R100,RF50mm F1.8 STM,1/40,f/1.8,100,50.0 mm,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,BrandonAlleyPhotography_untitled shoot_2026050221.jpg,,,,Portrait,819:1024
Unassigned,https://www.flickr.com/photos/204244048@N05/55174862805/,https://live.staticflickr.com/65535/55174862805_526015f4ef_m.jpg,8,,,Yes,true,,,https://live.staticflickr.com/65535/55174862805_526015f4ef_b.jpg,55174862805,AlleyPhotography_IMG_3887.jpg,2026-03-28 12:11:19,683,1024,Canon EOS R100,,1/1000,,1600,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,,,,Photography by Brandon Alley,Photography by Brandon Alley,AlleyPhotography_IMG_3887.jpg,,,,Portrait,683:1024
Silver River,https://www.flickr.com/photos/204244048@N05/55268958145/,https://live.staticflickr.com/65535/55268958145_c1c8cb087b_m.jpg,9,,silver-river,Yes,true,herons,Nyctanassa violacea,https://live.staticflickr.com/65535/55268958145_c1c8cb087b_b.jpg,55268958145,BrandonAlleyPhotography_SiliverSprings_202605101183.jpg,2026-05-10 17:25:10,1024,683,Canon EOS R100,,1/200,,200,,Manual,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Yellow-crowned Night-Heron,Yellow-crowned Night-Heron,BrandonAlleyPhotography_SiliverSprings_202605101183.jpg,,,,Landscape,1024:683
Silver River,https://www.flickr.com/photos/204244048@N05/55268957900/,https://live.staticflickr.com/65535/55268957900_7aff49f7d3_m.jpg,10,,silver-river,Yes,true,herons,Egretta caerulea,https://live.staticflickr.com/65535/55268957900_7aff49f7d3_b.jpg,55268957900,BrandonAlleyPhotography_SiliverSprings_20260510598.jpg,2026-05-10 15:53:36,683,1024,Canon EOS R100,,1/160,,100,,Auto,Multi-segment,Auto,"Flash (off, did not fire)",Published,herons,,,Little Blue Heron,Little Blue Heron,BrandonAlleyPhotography_SiliverSprings_20260510598.jpg,,,,Portrait,683:1024
